Date,LTP,Open,High,Low,Quantity,Score
7/08/2012,317.307312,311.871857,318.953949,310.930939,4341200,-0.4404
7/12/2012,317.062073,315.775787,318.348358,313.948944,3077900,0
7/16/2012,320.310303,317.62262,324.019012,316.571564,4934200,0
7/17/2012,323.348358,319.56958,324.724731,315.815826,4815500,0
7/18/2012,321.616608,323.623627,324.574585,320.770782,3876500,-0.3182
7/19/2012,324.98999,322.822815,325.070068,320.090088,3634700,0
7/20/2012,323.833832,323.838837,327.077087,322.722717,4010300,0
7/24/2012,328.208221,326.341339,329.624634,325.865875,5072700,-0.3182
7/27/2012,324.529541,327.047058,328.623627,322.472473,3844700,0.296
7/30/2012,320.940948,326.201202,327.072083,320.820831,4616700,0.128
7/31/2012,323.783783,320.705719,324.074066,317.737732,4563800,0.08895
8/03/2012,321.631622,323.028015,324.299286,319.639648,4085700,0.196666667
8/06/2012,317.892883,319.544556,319.819824,315.865875,3251900,-0.3818
8/07/2012,316.476471,316.436432,318.533539,314.599609,4632700,0.1779
8/08/2012,315.735748,314.554565,317.982971,312.957947,4361000,0.08895
8/09/2012,313.743744,317.077087,317.567566,312.587585,4959000,0
8/13/2012,318.298309,317.302307,318.318329,315.965973,4393600,0
8/27/2012,325.830841,321.49649,326.896912,320.450439,11501600,0
8/30/2012,312.61261,324.099091,324.819824,312.082092,16302200,-0.148
9/06/2012,303.338348,311.811798,312.217224,301.131134,11372800,0
9/12/2012,305.090088,304.584595,309.154144,303.808807,6041700,0
9/14/2012,304.029022,304.329315,306.706696,301.706696,5333600,-0.1909
9/17/2012,299.949951,303.148163,308.438446,299.799805,6582600,0
9/19/2012,298.328339,302.427429,304.729736,298.213226,6110600,-0.1027
9/21/2012,299.099091,296.746735,299.524536,295.395386,4391200,0
9/24/2012,300.935944,299.419434,303.618622,298.958954,3854300,-0.4939
9/25/2012,305.165161,302.302307,305.980988,301.74173,3638500,-0.208475
9/26/2012,308.04303,305.760773,309.309296,305.155151,4180800,-0.4767
9/28/2012,307.797791,307.81781,308.67868,305.605591,3269500,0.296
10/02/2012,302.727722,306.801788,308.348358,300.605591,4809700,0
10/04/2012,302.517517,302.197205,306.10611,300.395386,4000500,-0.2263
10/11/2012,303.933929,300.900909,304.359344,300.605591,3219700,0.469
10/12/2012,305.815826,305.115112,307.722717,304.779785,3732200,-0.164633333
10/15/2012,298.783783,303.263275,304.249237,298.703705,4410300,0
10/16/2012,304.079071,297.797791,305.590576,297.797791,3985000,0
10/17/2012,306.701691,303.068054,308.758759,300.650665,5349200,0.7003
10/18/2012,304.879883,303.713715,308.498505,301.206207,4652900,0.09735
10/19/2012,307.137146,306.786774,308.403412,305.42041,3068700,-0.188766667
10/21/2012,302.917908,305.480469,307.582581,302.687683,4194600,0
11/02/2012,302.302307,300.690704,304.554565,300.590576,3645100,0.1909
11/05/2012,305.86087,302.977966,307.8078,302.177185,4199900,0.35015
11/12/2012,314.779785,309.289276,315.365356,308.27829,9660500,0
11/13/2012,311.836823,317.232239,319.244232,310.925934,6700800,0.0258
11/16/2012,300.500488,312.862854,316.52652,298.648651,11935000,-0.4215
